,Player_ID,Players,Season,5v5 TOI,Shots/60,A1/60,Shot Contributions/60,Entries/60,Carries/60,Exits/60,Exits w/Possession/60,Failed Exit/60,Targets/60,Carry Against/60,Denial/60,Passes Allowed/60,Team,Pos.
662,MAX.WILLMAN,Max Willman,21,216.05,11.66396667,2.49942143,15.82966906,20.829,8.887,5.554,2.499,1.94,1.110853969,0,0.277713492,0,,
699,MAXIM.LETUNOV,Maxim Letunov,19,16.95,10.62,10.62,21.24,10.62,3.54,10.62,7.08,0,0,0,0,0,S.J,F
275,MAXIM.MAMIN,Maxim Mamin,18,34.5,13.91,8.7,27.83,26.09,15.65,8.7,5.22,1.74,,,,,FLA,C
663,MAXIM.MAMIN,Maxim Mamin,21,141.38,8.063185194,9.336319698,19.52139573,21.219,15.278,5.517,4.668,0.85,1.697512672,0,0.848756336,0,,
677,MAXIME.LAJOIE,Maxime Lajoie,18,252.59,10.69,4.04,16.87,6.89,1.9,15.2,6.18,5.46,23.99144859,15.91511936,3.088008235,5.700938279,OTT,D
605,MAXIME.LAJOIE,Maxime Lajoie,19,18.27,3.28,0,3.28,9.85,3.28,19.7,6.57,6.57,9.85,9.852216749,0,3.28407225,OTT,D
664,MAXIME.LAJOIE,Maxime Lajoie,21,30.55,11.78396072,0,15.71194763,7.856,0,7.856,5.892,0,21.60392799,9.819967267,1.963993453,3.927986907,,
512,MELKER.KARLSSON,Melker Karlsson,18,134.78,8.9,6.23,18.7,19.14,5.34,22.3,8,2.2,,,,,S.J,RW
700,MELKER.KARLSSON,Melker Karlsson,19,199.43,7.22,6.62,13.84,17.15,6.92,15.34,6.02,2.41,3.01,0.902572331,0.902572331,0,S.J,F
310,MICHAEL.AMADIO,Michael Amadio,18,45.22,10.61,13.27,26.54,29.191,14.595,30.52,15.92,3.98,,,,,L.A,RW
400,MICHAEL.AMADIO,Michael Amadio,19,140.23,9.41,10.7,20.11,20.11,14.12,8.99,5.99,3.85,2.14,0.427868502,1.283605505,0,L.A,F
665,MICHAEL.AMADIO,Michael Amadio,21,277.63,7.131708488,7.563933245,19.23400168,16.641,7.78,8.428,5.835,1.08,0.864449514,0.432224757,0,0.432224757,,
