"Name","Team","Season","GP","TOI","W","L","OL","ROW","Points","Points%","GF","GA","G±","Sh%","Sv%"
"Blue Jackets","CBJ","11-12",82,4973.8,29,46,7,25,65,39.6,202,262,-60,8.1,89.9
"Senators","OTT","18-19",82,4944.6,29,47,6,29,64,39,242,302,-60,10,89.7
"Ducks","ANA","20-21",56,3400.2,17,30,9,15,43,38.4,126,179,-53,8.3,89.7
"Devils","N.J","21-22",82,4978.5,27,46,9,24,63,38.4,248,307,-59,9.6,88.1
"Oilers","EDM","09-10",82,4997.1,27,47,8,NA,62,37.8,214,284,-70,8.9,89.8
"Oilers","EDM","10-11",82,4989.6,25,45,12,23,62,37.8,193,269,-76,8.7,90
"Oilers","EDM","14-15",82,5004.3,24,44,14,19,62,37.8,198,283,-85,8.3,88.8
"Sabres","BUF","17-18",82,4974,25,45,12,24,62,37.8,199,280,-81,7.7,89.6
"Panthers","FLA","12-13",48,2914.8,15,27,6,12,36,37.5,112,171,-59,7.8,88.6
"Islanders","NYI","08-09",82,4976.5,26,47,9,NA,61,37.2,201,279,-78,8.3,90
"Flyers","PHI","21-22",82,4968.8,25,46,11,24,61,37.2,211,298,-87,8.3,89.4
"Kraken","SEA","21-22",82,4949.8,27,49,6,24,60,36.6,216,285,-69,8.9,88
"Coyotes","ARI","21-22",82,4969.4,25,50,7,24,57,34.8,207,313,-106,9.7,89.4
"Coyotes","ARI","14-15",82,4995.4,24,50,8,19,56,34.1,170,272,-102,6.9,90.2
"Canadiens","MTL","21-22",82,4972.2,22,49,11,19,55,33.5,221,319,-98,8.9,88.8
"Sabres","BUF","20-21",56,3404.3,15,34,7,11,37,33,138,199,-61,8.4,89.6
"Sabres","BUF","14-15",82,4990,23,51,8,15,54,32.9,161,274,-113,7.7,90.8
"Sabres","BUF","13-14",82,4994.5,21,51,10,14,52,31.7,157,248,-91,7,91.4
"Avalanche","COL","16-17",82,4953.8,22,56,4,21,48,29.3,166,278,-112,7.2,89.4
"Red Wings","DET","19-20",71,4290.5,17,49,5,14,39,27.5,145,267,-122,7.4,88.6
